line,model_form,source,fit_mode,nature,role,n,rmse,mae,bias,r2,params,uncertainty,artifact_path,commit,notes
A,classical,B1,refit_per_source_internal,真实,fit,1176,0.0001464960899258,0.0001052319130204,,0.9999998165821044,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-a/artifacts/baselines/Q2-A/scaling_parameters.json;line-a/artifacts/baselines/Q2-A/scaling_validation.csv,c8b97cf4dd596c40351acd7a5e09b7c3ebf6a932,经典律在 B1 全量拟合；残差≈4 位小数舍入
A,classical,B2,fixed_model_cross_source,半合成,validation,1029,1.2430848665797711,1.1784418124933715,,-5.072798817293892,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-a/artifacts/baselines/Q2-A/scaling_parameters.json;line-a/artifacts/baselines/Q2-A/scaling_validation.csv,c8b97cf4dd596c40351acd7a5e09b7c3ebf6a932,B1 冻结经典参数直接外推；A 侧未逐源重拟合
A,classical,B4,fixed_model_cross_source,真实,validation,57,0.2926666775458089,0.2272632932675341,,0.6045048852513832,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-a/artifacts/baselines/Q2-A/scaling_parameters.json;line-a/artifacts/baselines/Q2-A/scaling_validation.csv,c8b97cf4dd596c40351acd7a5e09b7c3ebf6a932,B1 冻结经典参数直接外推；A 侧未逐源重拟合
A,classical,B5,fixed_model_cross_source,真实,validation,44,0.1975950740376062,0.1707215314629199,,0.7305591129233231,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-a/artifacts/baselines/Q2-A/scaling_parameters.json;line-a/artifacts/baselines/Q2-A/scaling_validation.csv,c8b97cf4dd596c40351acd7a5e09b7c3ebf6a932,B1 冻结经典参数直接外推；A 侧未逐源重拟合
A,additive_quality,B6,refit_per_source_internal,半合成,fit,360,0.0760704143027627,,,0.6936364581815861,gamma=0.363275;intercept=0 | with_int: gamma=0.362247;intercept=0.000697321,residual_std=0.137435,line-a/artifacts/baselines/Q2-A/gamma_estimates.json,c8b97cf4dd596c40351acd7a5e09b7c3ebf6a932,"γ 仅在 B6 上拟合，经典参数冻结自 B1；无质量项 RMSE=0.217237；Q∈[0.1, 1.0]；n_in_B1_support=168"
A,additive_quality,B7,refit_per_source_internal,半合成,fit,450,0.07306106093505116,,,0.6694487684862787,gamma=0.363404;intercept=0 | with_int: gamma=0.361995;intercept=0.000892492,residual_std=0.127077,line-a/artifacts/baselines/Q2-A/gamma_estimates.json,c8b97cf4dd596c40351acd7a5e09b7c3ebf6a932,"γ 仅在 B7 上拟合，经典参数冻结自 B1；无质量项 RMSE=0.207306；Q∈[0.1, 1.0]；n_in_B1_support=210"
A,additive_quality,B8,refit_per_source_internal,半合成,fit,1704,0.17318741303114263,,,0.9307763829522493,gamma=-2.09119;intercept=0 | with_int: gamma=-1.98302;intercept=-0.0738799,residual_std=0.658247,line-a/artifacts/baselines/Q2-A/gamma_estimates.json,c8b97cf4dd596c40351acd7a5e09b7c3ebf6a932,"γ 仅在 B8 上拟合，经典参数冻结自 B1；无质量项 RMSE=1.18245；Q∈[0.05, 1.0]；n_in_B1_support=456；**γ 符号相反(负)，不可与 B6/B7 池化**"
B,classical,B1,refit_per_source_internal,真实,fit,1176,0.00014649608992589011,,,1.0,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,"ci95 E=[1.68969,1.68991];A=[0.353923,0.354058];alpha=[0.33992,0.340027];B=[1.24019,1.24044];beta=[0.279833,0.279928]",line-b/results/q2_scaling_parameters.json,e498b2c6979a154c15a385a9a315827ef801a169,经典律在 B1 拟合；B1 Pythia 训练日志（真实）
B,classical,B2,refit_per_source_internal,半合成,fit,1029,0.0107597,,,0.999545,每源独立重拟合经典律,,line-b/results/q2_source_diagnosis.csv,e498b2c6979a154c15a385a9a315827ef801a169,来源诊断 verdict=公式生成（残差≈舍入量级，判为合成）；level=题面标注：半合成
B,classical,B4,refit_per_source_internal,真实,fit,57,0.0881752,,,0.964101,每源独立重拟合经典律,,line-b/results/q2_source_diagnosis.csv,e498b2c6979a154c15a385a9a315827ef801a169,来源诊断 verdict=含真实散布；level=题面标注：真实
B,classical,B5,refit_per_source_internal,真实,fit,44,0.131669,,,0.880359,每源独立重拟合经典律,,line-b/results/q2_source_diagnosis.csv,e498b2c6979a154c15a385a9a315827ef801a169,来源诊断 verdict=含真实散布；level=题面标注：真实
B,classical,B6,refit_per_source_internal,半合成,fit,360,0.12898,,,0.860277,每源独立重拟合经典律,,line-b/results/q2_source_diagnosis.csv,e498b2c6979a154c15a385a9a315827ef801a169,来源诊断 verdict=含真实散布；level=题面标注：半合成
