name,kind,direction,group,note,positive_index,subdims
fineweb_edu,element0,increasing,educational,教育价值评分，参考尺度归一化；越高越好。,,
fluency_en,softmax_index,increasing,fluency,二分类 logits；经 A1 各域均值核验 index1=流畅（arxiv 0.973 最高，github 0.547 最低）。,1.0,
modernbert_cleanliness,ordinal_level,increasing,naturalness,6 分类 logits；baseline 取 argmax/5（等级越高越干净）。softmax 期望作为敏感性对照。,,
modernbert_readability,ordinal_level,increasing,naturalness,6 分类 logits；argmax/5。,,
modernbert_reasoning,ordinal_level,increasing,naturalness,6 分类 logits；argmax/5。,,
modernbert_professionalism,ordinal_level,increasing,naturalness,6 分类 logits；argmax/5。,,
dsir_books,scalar,increasing,relevance,DSIR 目标域相似度分值，越大越接近目标域。,,
dsir_wiki,scalar,increasing,relevance,同上。,,
dsir_math,scalar,increasing,relevance,同上。,,
qurater,zmean,increasing,alignment,4 个子维度各自标准化后平均；不作为分类 logits 做 softmax。子维度方向未逐项核验，标为未验证假设。,,4.0
ad_en,softmax_index,increasing,alignment,"官方顺序 [has_ad, no_ad]，取 index1=无广告概率。",1.0,
rps_doc_word_count,scalar,suitable_interval,length_format,词数：适宜区间效用，不机械规定单调方向；区间取自参考集分位数。,,
rps_doc_num_sentences,scalar,suitable_interval,length_format,句数：适宜区间。,,
rps_doc_unigram_entropy,scalar,increasing,repetition,单字熵越高信息越丰富。,,
rps_doc_frac_unique_words,scalar,increasing,repetition,唯一词比例，越高重复越少。,,
rps_doc_frac_no_alph_words,scalar,decreasing,naturalness,非字母词比例，越高噪声越多；负向。,,
rps_doc_frac_chars_top_2gram,scalar,decreasing,repetition,top-2gram 字符占比，重复度；负向。,,
rps_doc_frac_chars_top_3gram,scalar,decreasing,repetition,top-3gram 字符占比，重复度；负向。,,
rps_lines_uppercase_letter_fraction,scalar,suitable_interval,length_format,大写字母比例：适宜区间（极端大写差）。,,
rps_lines_ending_with_terminal_punctution_mark,scalar,increasing,length_format,以终止标点结尾的行比例，越高句子越完整。,,
rps_lines_numerical_chars_fraction,scalar,suitable_interval,length_format,数字字符比例：适宜区间。,,
rps_doc_mean_word_length,scalar,suitable_interval,length_format,平均词长：适宜区间。,,
