line,set,target,rmse,bias
A,1m,arxiv,0.5885234558662565,-0.17030731741502253
A,1m,freelaw,0.4805721924686243,-0.03654905665522343
A,1m,pubmed_central,0.5309998931113015,-0.046705054953087306
A,1m,wikipedia_en,0.295787906012094,0.010117470797343386
A,1m,dm_mathematics,1.1603408217756839,-0.042079434460385305
A,1m,github,0.612732045078968,-0.14311475972496707
A,1m,stackexchange,0.44859317819141037,-0.09741805187802745
A,1m,gutenberg_pg_19,0.2565782941198724,-0.020020149911036466
A,1m,pile_cc,0.15336717252567836,-0.0023926623729561974
A,1m,ubuntu_irc,0.6485533286000478,-0.03911089479411192
A,1m,hackernews,0.19020587380829101,-0.016771655994657506
A,1m,pubmed_abstracts,0.2626661424922514,-0.007364271072776639
A,1m,uspto_backgrounds,0.2724679874933983,-0.021868467250839456
B,1m,arxiv,0.5625021224639474,-0.10104360620858664
B,1m,freelaw,0.43684897982695603,0.007700627099789506
B,1m,pubmed_central,0.47356307037265144,0.04289393725585097
B,1m,wikipedia_en,0.24387528516037582,0.012817479803382752
B,1m,dm_mathematics,1.232348629902152,0.0844064746627687
B,1m,github,0.5723200286693529,-0.07625311092236486
B,1m,stackexchange,0.39771655100500525,-0.040315165774622366
B,1m,gutenberg_pg_19,0.210209360653829,0.013850731656829329
B,1m,pile_cc,0.13411562816021144,0.006867941169716139
B,1m,ubuntu_irc,0.7501636254975618,0.05882844265410818
B,1m,hackernews,0.20590770134490502,-0.0012146976283758104
B,1m,pubmed_abstracts,0.1980891561160673,0.028177243886322832
B,1m,uspto_backgrounds,0.20805036689799056,0.00417671731832083
C,1m,arxiv,0.3235781149712035,-0.09848575068163574
C,1m,freelaw,0.3936186829767872,-0.016665028803612283
C,1m,pubmed_central,0.3883351272625067,-0.06120348959687418
C,1m,wikipedia_en,0.426263169875225,0.000388748862773243
C,1m,dm_mathematics,0.3692995334747363,-0.05920240923591211
C,1m,github,0.3653475786349264,-0.09549315963456009
C,1m,stackexchange,0.28939396217360225,-0.058560061126459555
C,1m,gutenberg_pg_19,0.36185815040357616,-0.045102317885643534
C,1m,pile_cc,0.21690259436511278,0.0018171479861724404
C,1m,ubuntu_irc,0.3561341150479958,-0.06472958739577159
C,1m,hackernews,0.29422020737944954,-0.0252224394921731
C,1m,pubmed_abstracts,0.41212112906018505,-0.022607078400610485
C,1m,uspto_backgrounds,0.41326517406617114,-0.013952376435606918
A,60m,arxiv,1.8318516633414677,-1.7639067532883521
A,60m,freelaw,1.4447072083383177,-1.3795956529290034
A,60m,pubmed_central,1.7565472284195065,-1.7105357608714589
A,60m,wikipedia_en,1.3712541354503596,-1.342193447474198
A,60m,dm_mathematics,1.5631102616884467,-1.34311552691309
A,60m,github,2.634891865685252,-2.5827194453667923
A,60m,stackexchange,1.765424850422027,-1.7205751870889587
A,60m,gutenberg_pg_19,1.0111643958146639,-0.9888799733316802
A,60m,pile_cc,1.078604600348446,-1.0672955286321735
A,60m,ubuntu_irc,2.038224068574706,-1.9655622937851602
A,60m,hackernews,1.0089859322697892,-0.9931156695812977
A,60m,pubmed_abstracts,1.3748429198169192,-1.3496276567262724
A,60m,uspto_backgrounds,1.42291921659667,-1.398281662644819
B,60m,arxiv,1.7713672983801279,-1.6946430420819163
B,60m,freelaw,1.3958684430703225,-1.3353459691739904
B,60m,pubmed_central,1.6792724680906814,-1.6209367686625207
B,60m,wikipedia_en,1.3583327864628032,-1.3394934384681587
B,60m,dm_mathematics,1.5704158811536237,-1.2166296177899363
B,60m,github,2.5761855786658066,-2.51585779656419
B,60m,stackexchange,1.7048266026692598,-1.6634723009855539
B,60m,gutenberg_pg_19,0.9732914891874382,-0.9550090917638144
B,60m,pile_cc,1.0660209104219662,-1.0580349250895011
B,60m,ubuntu_irc,1.981889981896212,-1.8676229563369402
B,60m,hackernews,0.997053731518571,-0.9775587112150161
B,60m,pubmed_abstracts,1.3291601009760994,-1.314086141767173
B,60m,uspto_backgrounds,1.3885329922795382,-1.3722364780756586
C,60m,arxiv,1.7090641949196275,-1.6920851865549653
C,60m,freelaw,1.3978729324127848,-1.359711625077392
