domain,max_group,min_group,n
arxiv,cleanliness,structure_format,8144
arxiv,cleanliness,domain_relevance,1436
arxiv,language_quality,structure_format,201
arxiv,language_quality,domain_relevance,28
arxiv,cleanliness,educational_value,26
arxiv,language_quality,educational_value,24
arxiv,language_quality,professionalism,6
arxiv,professionalism,structure_format,3
arxiv,professionalism,domain_relevance,1
book,cleanliness,structure_format,26
book,cleanliness,domain_relevance,16
book,language_quality,domain_relevance,5
book,language_quality,structure_format,2
book,cleanliness,educational_value,1
book,language_quality,professionalism,1
c4,cleanliness,professionalism,599
c4,language_quality,professionalism,537
c4,language_quality,educational_value,312
c4,cleanliness,educational_value,232
c4,language_quality,cleanliness,76
c4,lexical_information,professionalism,60
c4,lexical_information,educational_value,32
c4,cleanliness,structure_format,23
c4,lexical_information,language_quality,13
c4,language_quality,structure_format,5
c4,lexical_information,cleanliness,5
c4,cleanliness,language_quality,1
c4,structure_format,professionalism,1
commoncrawl,language_quality,professionalism,450
commoncrawl,cleanliness,professionalism,372
commoncrawl,cleanliness,structure_format,189
commoncrawl,cleanliness,educational_value,57
commoncrawl,language_quality,educational_value,43
commoncrawl,language_quality,structure_format,43
commoncrawl,language_quality,cleanliness,4
commoncrawl,lexical_information,language_quality,1
commoncrawl,lexical_information,professionalism,1
github,domain_relevance,educational_value,1545
github,domain_relevance,structure_format,1003
github,lexical_information,structure_format,569
github,cleanliness,structure_format,449
github,domain_relevance,language_quality,182
github,domain_relevance,professionalism,166
github,cleanliness,educational_value,102
github,professionalism,structure_format,90
github,language_quality,structure_format,64
github,language_quality,educational_value,57
github,lexical_information,educational_value,26
github,lexical_information,language_quality,26
github,language_quality,professionalism,13
github,lexical_information,professionalism,9
github,language_quality,domain_relevance,6
github,cleanliness,professionalism,5
github,lexical_information,cleanliness,2
stackexchange,cleanliness,structure_format,19
stackexchange,cleanliness,educational_value,12
stackexchange,cleanliness,language_quality,2
stackexchange,language_quality,educational_value,1
stackexchange,language_quality,structure_format,1
wikipedia,language_quality,professionalism,563
wikipedia,cleanliness,professionalism,211
wikipedia,cleanliness,educational_value,81
wikipedia,domain_relevance,educational_value,19
wikipedia,language_quality,educational_value,19
wikipedia,domain_relevance,structure_format,14
wikipedia,language_quality,structure_format,11
wikipedia,domain_relevance,professionalism,6
wikipedia,cleanliness,structure_format,4
wikipedia,lexical_information,educational_value,3
wikipedia,lexical_information,professionalism,1
wikipedia,lexical_information,structure_format,1
