dataset,kind,variant,mode,target,n,spearman,regret,expected_regret_random_pick,rmse_uncalibrated,mae_uncalibrated,y_min,y_max,y_range,topk1_hit,topk3_hit,topk5_hit,topk10_hit
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,arxiv,256,0.9375150205996796,0.07949662208557218,1.2405663644894966,0.3235781149712034,0.25340373139635897,3.63838243484497,7.142473220825195,3.5040907859802255,False,False,False,True
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,freelaw,256,0.8967870222018769,0.0,1.4551817057654262,0.3936186829767872,0.31640974296577695,3.86080002784729,6.862546443939209,3.001746416091919,True,True,True,True
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,pubmed_central,256,0.9177307450217441,0.0,1.225560549646616,0.38833512726250663,0.3280251675437145,3.862565755844116,6.957304000854492,3.094738245010376,True,True,True,True
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,wikipedia_en,256,0.7046957255664912,0.1311345100402832,1.0926313363015652,0.426263169875225,0.3523361482287106,4.7230305671691895,7.166999340057373,2.4439687728881836,False,False,False,True
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,dm_mathematics,256,0.9264798867017624,0.07132172584533647,1.924599851481616,0.3692995334747364,0.27803308683077965,1.834458470344544,6.2641472816467285,4.429688811302185,False,False,False,False
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,github,256,0.9489621480888075,0.0,1.3801390025764704,0.3653475786349264,0.28429315140157096,3.6935882568359375,7.509933948516846,3.816345691680908,True,True,True,True
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,stackexchange,256,0.9249599450675212,0.008864641189575195,1.1319399876520038,0.28939396217360225,0.2155811285558526,3.9877002239227295,6.952165603637695,2.964465379714966,False,True,True,True
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,gutenberg_pg_19,256,0.6392416742961776,0.05821514129638672,0.7652148362249136,0.3618581504035762,0.29841402649341353,4.6640167236328125,6.7244133949279785,2.060396671295166,False,True,True,True
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,pile_cc,256,0.8028388933394369,0.006951808929443359,0.6065231766551733,0.21690259436511278,0.17409762055619757,5.127173900604248,6.680059432983398,1.5528855323791504,False,False,True,True
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,ubuntu_irc,256,0.8897909990844587,0.5499334335327148,1.7912629321217537,0.3561341150479958,0.26243330844084445,4.698722839355469,8.19113540649414,3.492412567138672,False,False,False,False
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,hackernews,256,0.4822406443121996,0.832918643951416,0.6920997891575098,0.2942202073794495,0.24704035551894066,4.698311805725098,6.307061195373535,1.6087493896484375,False,False,False,False
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,pubmed_abstracts,256,0.6976796749828336,0.48110198974609375,0.9694185573607683,0.4121211290601851,0.33075596342079844,4.4454193115234375,7.118744850158691,2.673325538635254,False,False,False,False
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,uspto_backgrounds,256,0.627405441748684,0.18534421920776367,1.0414554253220558,0.41326517406617114,0.349276819411643,4.11890172958374,6.433174133300781,2.314272403717041,False,False,False,False
