Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,sub_date,is_chat,has_license,_k,match_conf,matched,c4_model,c4_params_B,c4_compute_FLOP,c4_data,c4_open,c4_access,c4_pubdate,c4_org
0-hero/Matter-0.2-7B-DPO,7.242,2024-08-05,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.90636,33.0279,10.0555,1.43505,1.23043,5.87187,1.81738,2024-08-05,True,True,0heromatter027bdpo,none,False,,,,,,,,
01-ai/Yi-1.5-34B,34.389,2024-06-12,apache-2.0,🟢 pretrained,25.6465,28.4117,42.7494,15.3323,15.4362,11.2172,40.7321,2024-06-12,False,True,01aiyi1534b,high,True,Yi-1.5-34B,34,7.344e+23,,Yes,Open weights (restricted use),2024-05-13,01.AI
01-ai/Yi-1.5-34B-32K,34.389,2024-06-12,apache-2.0,🟢 pretrained,26.7279,31.1869,43.3818,15.4079,15.1007,14.0779,41.2123,2024-06-12,False,True,01aiyi1534b32k,medium,True,Yi-1.5-34B,34,7.344e+23,,Yes,Open weights (restricted use),2024-05-13,01.AI
01-ai/Yi-1.5-34B-Chat,34.389,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",33.358,60.6676,44.2628,27.719,15.3244,13.0581,39.1161,2024-06-12,True,True,01aiyi1534bchat,medium,True,Yi-1.5-34B,34,7.344e+23,,Yes,Open weights (restricted use),2024-05-13,01.AI
01-ai/Yi-1.5-34B-Chat-16K,34.389,2024-07-15,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",29.4036,45.645,44.5362,21.3746,11.745,13.7367,39.3839,2024-07-15,True,True,01aiyi1534bchat16k,medium,True,Yi-1.5-34B,34,7.344e+23,,Yes,Open weights (restricted use),2024-05-13,01.AI
01-ai/Yi-1.5-6B,6.061,2024-08-10,apache-2.0,🟢 pretrained,16.7457,26.166,22.0279,6.64653,8.50112,13.3091,23.8235,2024-08-10,False,True,01aiyi156b,none,False,,,,,,,,
01-ai/Yi-1.5-6B-Chat,6.061,2024-10-22,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",22.784,51.4527,23.6787,16.2387,6.93512,14.0305,24.3684,2024-10-22,True,True,01aiyi156bchat,none,False,,,,,,,,
01-ai/Yi-1.5-9B,8.829,2024-06-12,apache-2.0,🟢 pretrained,22.1539,29.3584,30.5007,11.4048,17.226,12.031,32.4025,2024-06-12,False,True,01aiyi159b,high,True,Yi-1.5-9B,8.83,1.90728e+23,,Yes,Open weights (unrestricted),2024-05-13,01.AI
01-ai/Yi-1.5-9B-32K,8.829,2024-06-12,apache-2.0,🟢 pretrained,19.8098,23.0311,28.937,10.8006,14.5414,10.8268,30.7218,2024-06-12,False,True,01aiyi159b32k,medium,True,Yi-1.5-9B,8.83,1.90728e+23,,Yes,Open weights (unrestricted),2024-05-13,01.AI
01-ai/Yi-1.5-9B-Chat,8.829,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",29.5309,60.4553,36.9529,22.5831,11.2975,12.8383,33.0581,2024-06-12,True,True,01aiyi159bchat,medium,True,Yi-1.5-9B,8.83,1.90728e+23,,Yes,Open weights (unrestricted),2024-05-13,01.AI
01-ai/Yi-1.5-9B-Chat-16K,8.829,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",23.7654,42.1404,31.4976,17.8248,7.82998,10.0383,33.2613,2024-06-12,True,True,01aiyi159bchat16k,medium,True,Yi-1.5-9B,8.83,1.90728e+23,,Yes,Open weights (unrestricted),2024-05-13,01.AI
01-ai/Yi-34B,34.389,2024-06-12,apache-2.0,🟢 pretrained,22.3731,30.4575,35.5424,5.13595,15.5481,9.64844,37.9063,2024-06-12,False,True,01aiyi34b,high,True,Yi-34B,34,6.1e+23,3.1e+12,Yes,Open weights (restricted use),2023-11-02,01.AI
01-ai/Yi-34B-200K,34.389,2024-06-12,apache-2.0,🟢 pretrained,20.0135,15.4249,36.0221,5.74018,14.2058,9.41484,39.273,2024-06-12,False,True,01aiyi34b200k,medium,True,Yi-34B,34,6.1e+23,3.1e+12,Yes,Open weights (restricted use),2023-11-02,01.AI
01-ai/Yi-34B-Chat,34.389,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",24.2267,46.9889,37.624,6.26888,11.745,8.3638,34.3695,2024-06-12,True,True,01aiyi34bchat,medium,True,Yi-34B,34,6.1e+23,3.1e+12,Yes,Open weights (restricted use),2023-11-02,01.AI
01-ai/Yi-6B,6.061,2024-06-12,apache-2.0,🟢 pretrained,13.6116,28.9338,19.4085,1.5861,2.57271,7.04427,22.1243,2024-06-12,False,True,01aiyi6b,high,True,Yi 6B,6,1.26e+23,,Yes,Open weights (restricted use),2023-11-02,01.AI
01-ai/Yi-6B-200K,6.061,2024-06-12,apache-2.0,🟢 pretrained,11.9961,8.43307,20.148,1.81269,4.25056,16.8424,20.4898,2024-06-12,False,True,01aiyi6b200k,none,False,,,,,,,,
01-ai/Yi-6B-Chat,6.061,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.1177,33.9521,17.0002,1.35952,5.92841,3.56563,22.9,2024-06-12,True,True,01aiyi6bchat,none,False,,,,,,,,
01-ai/Yi-9B,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.8119,27.0878,27.627,5.58912,9.0604,8.90911,28.5978,2024-06-12,False,True,01aiyi9b,none,False,,,,,,,,
01-ai/Yi-9B-200K,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.7296,23.2709,26.4925,6.64653,8.72483,12.1091,29.1334,2024-06-12,False,True,01aiyi9b200k,none,False,,,,,,,,
01-ai/Yi-Coder-9B-Chat,8.829,2024-09-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,16.986,48.1704,25.9432,4.00302,0,7.9638,15.8355,2024-09-12,False,True,01aiyicoder9bchat,none,False,,,,,,,,
1-800-LLMs/Qwen-2.5-14B-Hindi,14.77,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,36.2662,58.2571,49.3299,33.3082,14.9888,14.3505,47.3626,2025-02-06,False,True,1800llmsqwen2514bhindi,medium,True,Qwen2.5-14B,14.7,1.5876e+24,,Yes,Open weights (unrestricted),2024-09-19,Alibaba
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,14.77,2025-02-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,31.0208,30.7747,46.5402,31.1178,15.9955,15.4328,46.2637,2025-02-06,False,True,1800llmsqwen2514bhindicustominstruct,medium,True,Qwen2.5-14B,14.7,1.5876e+24,,Yes,Open weights (unrestricted),2024-09-19,Alibaba
