mixture_domain,quality_domain,mapping_type,Q_resolved,n_quality,is_proxy
arxiv,arxiv,direct,0.5857832352290838,17523,False
freelaw,,inferred,0.5597491758864412,0,True
nih_exporter,,inferred,0.5597491758864412,0,True
pubmed_central,,inferred,0.5597491758864412,0,True
wikipedia_en,wikipedia,near_direct,0.6183936162586194,10000,False
dm_mathematics,,inferred,0.5597491758864412,0,True
github,github,direct,0.5395338044974901,203752,False
philpapers,,inferred,0.5597491758864412,0,True
stackexchange,stackexchange,direct,0.6723844038906993,10000,False
enron_emails,,inferred,0.5597491758864412,0,True
gutenberg_pg_19,book,near_direct,0.46943257524336507,171,False
pile_cc,commoncrawl,near_direct,0.6770226753502974,9640,False
ubuntu_irc,,inferred,0.5597491758864412,0,True
europarl,,inferred,0.5597491758864412,0,True
hackernews,,inferred,0.5597491758864412,0,True
pubmed_abstracts,,inferred,0.5597491758864412,0,True
uspto_backgrounds,,inferred,0.5597491758864412,0,True
